Indent Level,Research Area,Faculty Name,Parent,Number of Publications
0,All Research Area,NaN,NaN,NaN
1,Data Sciences and Artificial Intelligence,NaN,All Research Area,NaN
1,Human-Computer Interaction,NaN,All Research Area,NaN
1,Privacy and Security ,NaN,All Research Area,NaN
1,Social and Organizational Informatics,NaN,All Research Area,NaN
2,Data Sciences and Artificial Intelligence,C. Lee Giles,All Research Area,773
2,Data Sciences and Artificial Intelligence,John Yen,All Research Area,430
2,Data Sciences and Artificial Intelligence,Qingyun Wu,All Research Area,31
2,Data Sciences and Artificial Intelligence,Justin Silverman,All Research Area,38
2,Data Sciences and Artificial Intelligence,Sarah Rajtmajer,All Research Area,84
2,Human-Computer Interaction,Saeed Abdullah,All Research Area,75
2,Human-Computer Interaction,Syed Billah,All Research Area,31
2,Human-Computer Interaction,Frank Ritter,All Research Area,392
2,Human-Computer Interaction,Ting-Hao (Kenneth),All Research Area,71
2,Human-Computer Interaction,Yubo Kou,All Research Area,65
2,Privacy and Security ,Taegyu Kim,All Research Area,16
2,Privacy and Security ,Edward J. Glantz,All Research Area,31
2,Privacy and Security ,Dinghao Wu,All Research Area,133
2,Privacy and Security ,Dongwon Lee,All Research Area,329
2,Privacy and Security ,Jinghui Chen,All Research Area,34
2,Social and Organizational Informatics,Fred Fonseca,All Research Area,122
2,Social and Organizational Informatics,Kelley Cotter,All Research Area,22
2,Social and Organizational Informatics,Lynette Yarger,All Research Area,119
2,Social and Organizational Informatics,Urja Vora,All Research Area,22
2,Social and Organizational Informatics,Andrea Tapia,All Research Area,179
